"pet_preferences","species_name","preference_match_count"
"Aquatic Pets","Fish","24"
"Cat","Cat","489"
"Dog","Dog","466"
"Exotic","Turtle","1"
"Exotic","Lizard","46"
"Exotic","Snake","38"
"Farm Animals","Rabbit","49"
"Farm Animals","Guinea Pig","12"
"No Preference","Bird","29"
"No Preference","Cat","46"
"No Preference","Turtle","3"
"No Preference","Rabbit","5"
"No Preference","Parrot","11"
"No Preference","Lizard","5"
"No Preference","Guinea Pig","48"
"No Preference","Hamster","5"
"No Preference","Fish","23"
"No Preference","Dog","68"
"Small Pets","Hamster","84"
"","Lizard","6"
"","Fish","9"
"","Rabbit","2"
"","Parrot","2"
"","Hamster","4"
"","Cat","27"
"","Guinea Pig","17"
"","Bird","10"
"","Dog","31"
"","Turtle","2"
